url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,kingdom,phylum,cls,order,family,genus,species,filepath,uuid,hashsum_original,hashsum_resized
https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092659_rcnx1194.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092659_rcnx1194.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092659_rcnx1194.jpg,Island Conservation Camera Traps : palau_cam04a_cam04a12132018_palau_cam04a12132018_20180916_092659_rcnx1194,Island Conservation Camera Traps : unknown,Island Conservation Camera Traps : palau_cam04a,-1,brown_noddy,anous stolidus,brown noddy,animalia,chordata,aves,charadriiformes,laridae,anous,stolidus,island/8ccffa9b-49e6-4537-9a2d-3eb63ee3843d.png,8ccffa9b-49e6-4537-9a2d-3eb63ee3843d,bb9929cda9966ca9d7cb879b00d0926c,e0073f6886ddf15587d1455af43d2c90
https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_091212_rcnx1147.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_091212_rcnx1147.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_091212_rcnx1147.jpg,Island Conservation Camera Traps : palau_cam04a_cam04a12132018_palau_cam04a12132018_20180916_091212_rcnx1147,Island Conservation Camera Traps : unknown,Island Conservation Camera Traps : palau_cam04a,-1,brown_noddy,anous stolidus,brown noddy,animalia,chordata,aves,charadriiformes,laridae,anous,stolidus,island/5ac03844-1055-41a6-b236-e5850adac2b8.png,5ac03844-1055-41a6-b236-e5850adac2b8,a0e1670f260aeab3ff1fbde08793ebfd,ed3e2a851f785e691f380cb6f21ed410
https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092653_rcnx1187.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092653_rcnx1187.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092653_rcnx1187.jpg,Island Conservation Camera Traps : palau_cam04a_cam04a12132018_palau_cam04a12132018_20180916_092653_rcnx1187,Island Conservation Camera Traps : unknown,Island Conservation Camera Traps : palau_cam04a,-1,brown_noddy,anous stolidus,brown noddy,animalia,chordata,aves,charadriiformes,laridae,anous,stolidus,island/1827a7c4-e2c3-40b2-b4e1-1239bdd8afa1.png,1827a7c4-e2c3-40b2-b4e1-1239bdd8afa1,82f4cc4be2426a24e561460a0549d318,93469b54f0b9feb6dabdb743f59bb48a
https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180918_064355_rcnx1239.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180918_064355_rcnx1239.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180918_064355_rcnx1239.jpg,Island Conservation Camera Traps : palau_cam04a_cam04a12132018_palau_cam04a12132018_20180918_064355_rcnx1239,Island Conservation Camera Traps : unknown,Island Conservation Camera Traps : palau_cam04a,-1,brown_noddy,anous stolidus,brown noddy,animalia,chordata,aves,charadriiformes,laridae,anous,stolidus,island/bfefc1d0-fc16-43df-a402-0a7ac759db03.png,bfefc1d0-fc16-43df-a402-0a7ac759db03,f0183a11f0896590e6594ed6e3536b84,e744ba03e038376cd3a39c318618d6b6
https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_091214_rcnx1151.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_091214_rcnx1151.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_091214_rcnx1151.jpg,Island Conservation Camera Traps : palau_cam04a_cam04a12132018_palau_cam04a12132018_20180916_091214_rcnx1151,Island Conservation Camera Traps : unknown,Island Conservation Camera Traps : palau_cam04a,-1,brown_noddy,anous stolidus,brown noddy,animalia,chordata,aves,charadriiformes,laridae,anous,stolidus,island/dacec0a9-881d-4198-a26d-07477e7b15c5.png,dacec0a9-881d-4198-a26d-07477e7b15c5,65212f22c78867c698d54d7d460c78b2,271fc7d200b69f7d7c0540de81d436d8
https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092650_rcnx1184.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092650_rcnx1184.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092650_rcnx1184.jpg,Island Conservation Camera Traps : palau_cam04a_cam04a12132018_palau_cam04a12132018_20180916_092650_rcnx1184,Island Conservation Camera Traps : unknown,Island Conservation Camera Traps : palau_cam04a,-1,brown_noddy,anous stolidus,brown noddy,animalia,chordata,aves,charadriiformes,laridae,anous,stolidus,island/c171b9b8-1412-4e5f-9d10-a5201a621a5a.png,c171b9b8-1412-4e5f-9d10-a5201a621a5a,a28897b5d51ddf47efff5601bff01aeb,5268b53c49b0533817179f5140911a33
https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092648_rcnx1182.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092648_rcnx1182.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092648_rcnx1182.jpg,Island Conservation Camera Traps : palau_cam04a_cam04a12132018_palau_cam04a12132018_20180916_092648_rcnx1182,Island Conservation Camera Traps : unknown,Island Conservation Camera Traps : palau_cam04a,-1,brown_noddy,anous stolidus,brown noddy,animalia,chordata,aves,charadriiformes,laridae,anous,stolidus,island/242fc151-4ba4-40e4-b970-039ca5a56fe2.png,242fc151-4ba4-40e4-b970-039ca5a56fe2,1e4e93bc617ed1663bb543eb89e27b04,a5b59c117b18481e57cc19fcd6318b12
https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180918_064832_rcnx1259.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180918_064832_rcnx1259.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180918_064832_rcnx1259.jpg,Island Conservation Camera Traps : palau_cam04a_cam04a12132018_palau_cam04a12132018_20180918_064832_rcnx1259,Island Conservation Camera Traps : unknown,Island Conservation Camera Traps : palau_cam04a,-1,brown_noddy,anous stolidus,brown noddy,animalia,chordata,aves,charadriiformes,laridae,anous,stolidus,island/683491df-2843-49f7-87d9-40db3409b698.png,683491df-2843-49f7-87d9-40db3409b698,35d1802b3ab90914e2c2bd0c8ca115ba,b282361e9de6c54783b4755522149279
https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_091113_rcnx1143.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_091113_rcnx1143.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_091113_rcnx1143.jpg,Island Conservation Camera Traps : palau_cam04a_cam04a12132018_palau_cam04a12132018_20180916_091113_rcnx1143,Island Conservation Camera Traps : unknown,Island Conservation Camera Traps : palau_cam04a,-1,brown_noddy,anous stolidus,brown noddy,animalia,chordata,aves,charadriiformes,laridae,anous,stolidus,island/1ba39a21-247d-4042-9187-a415414561cc.png,1ba39a21-247d-4042-9187-a415414561cc,3e4b73fbf022733287b7d4679143bbfd,158f9d1d5ab377e4c9e5136fab387ef4
https://storage.googleapis.com/public-datasets-lila/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092651_rcnx1186.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092651_rcnx1186.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/islandconservationcameratraps/public/palau/cam04a/cam04a12132018/palau_cam04a12132018_20180916_092651_rcnx1186.jpg,Island Conservation Camera Traps : palau_cam04a_cam04a12132018_palau_cam04a12132018_20180916_092651_rcnx1186,Island Conservation Camera Traps : unknown,Island Conservation Camera Traps : palau_cam04a,-1,brown_noddy,anous stolidus,brown noddy,animalia,chordata,aves,charadriiformes,laridae,anous,stolidus,island/0eda83e2-7d22-4aaf-a7b3-737f08f3c4e7.png,0eda83e2-7d22-4aaf-a7b3-737f08f3c4e7,e7686cef1a22048b17940769e5aa4700,a9b22aea3dbce644eb7fbff7b7d644b2
